ID Pedido,Data,Produto,Categoria,Quantidade,Valor Unitário
1,2026-07-28,Cadeira Gamer,Móveis,-1,1200.0
2,2026-03-24,Mouse Gamer,Periféricos,1,150.5
3,2026-02-17,Teclado Mecânico,Periféricos,1,350.0
4,2026-05-17,Mouse Gamer,Periféricos,2,150.5
5,2026-04-16,Headset,Periféricos,1,250.0
6,2026-03-05,Cabo HDMI,Acessórios,2,25.0
7,2026-03-06,Cabo HDMI,Acessórios,1,25.0
8,2026-09-02,Mouse Gamer,Periféricos,1,150.5
9,2026-08-02,Cadeira Gamer,Móveis,1,1200.0
10,2026-12-12,Teclado Mecânico,Periféricos,-1,350.0
11,2026-10-22,Headset,Periféricos,0,250.0
12,2026-07-17,Teclado Mecânico,Periféricos,2,350.0
13,2026-05-03,Mouse Gamer,Periféricos,1,150.5
14,2026-08-15,Headset,Periféricos,1,250.0
15,2026-08-19,Mouse Gamer,Periféricos,1,150.5
16,2026-02-07,Mouse Gamer,Periféricos,1,150.5
17,2026-06-12,Mouse Gamer,Periféricos,1,150.5
18,2026-06-18,Mouse Gamer,Periféricos,1,150.5
19,2026-08-11,Teclado Mecânico,Periféricos,1,350.0
20,2026-05-08,Cadeira Gamer,Móveis,-1,1200.0
21,2026-05-22,Teclado Mecânico,Periféricos,1,350.0
22,2026-11-05,Teclado Mecânico,Periféricos,1,350.0
23,2026-01-10,Monitor 24p,Monitores,1,800.0
24,2026-04-28,Headset,Periféricos,1,250.0
25,2026-07-28,Headset,Periféricos,1,250.0
26,2026-09-26,Cabo HDMI,Acessórios,1,25.0
27,2026-04-04,Cadeira Gamer,Móveis,1,1200.0
28,2026-01-17,Headset,Periféricos,2,250.0
29,2026-11-19,Monitor 24p,Monitores,1,800.0
30,2026-02-17,Headset,Periféricos,1,250.0
31,2026-01-19,Headset,Periféricos,1,250.0
32,2026-02-17,Cabo HDMI,Acessórios,-1,25.0
33,2026-10-12,Cabo HDMI,Acessórios,1,25.0
34,2026-04-21,Cabo HDMI,Acessórios,2,25.0
35,2026-05-31,Teclado Mecânico,Periféricos,1,350.0
36,2026-11-11,Teclado Mecânico,Periféricos,2,350.0
37,2026-04-27,Mouse Gamer,Periféricos,2,150.5
38,2026-04-20,Mouse Gamer,Periféricos,1,150.5
39,2026-09-28,Monitor 24p,Monitores,0,800.0
40,2026-01-14,Mouse Gamer,Periféricos,1,150.5
41,2026-03-27,Headset,Periféricos,1,250.0
42,2026-09-11,Headset,Periféricos,3,250.0
43,2026-07-07,Mouse Gamer,Periféricos,1,150.5
44,2026-06-29,Teclado Mecânico,Periféricos,1,350.0

46,2026-01-28,Cabo HDMI,Acessórios,1,25.0
47,2026-08-28,Mouse Gamer,Periféricos,1,150.5
48,2026-11-18,Monitor 24p,Monitores,1,800.0
49,2026-02-18,Monitor 24p,Monitores,1,800.0
50,2026-11-10,Cadeira Gamer,Móveis,3,1200.0
51,2026-02-20,Headset,Periféricos,1,250.0
52,2026-08-14,Teclado Mecânico,Periféricos,1,350.0
53,2026-04-20,Headset,Periféricos,1,250.0
54,2026-08-05,Teclado Mecânico,Periféricos,1,350.0
55,2026-06-21,Teclado Mecânico,Periféricos,1,350.0
56,2026-10-19,Mouse Gamer,Periféricos,1,150.5
57,2026-08-20,Teclado Mecânico,Periféricos,1,350.0
58,2026-07-24,Cabo HDMI,Acessórios,1,25.0
59,2026-07-02,Cabo HDMI,Acessórios,1,25.0
60,2026-01-14,Cabo HDMI,Acessórios,2,25.0
61,2026-03-06,Cabo HDMI,Acessórios,1,25.0
62,2026-12-08,Teclado Mecânico,Periféricos,1,350.0
63,2026-10-12,Monitor 24p,Monitores,1,800.0
64,2026-02-14,Cabo HDMI,Acessórios,-1,25.0
65,2026-02-25,Mouse Gamer,Periféricos,1,150.5
66,2026-12-25,Cadeira Gamer,Móveis,1,1200.0
67,2026-03-17,Teclado Mecânico,Periféricos,0,350.0

69,2026-09-28,Cabo HDMI,Acessórios,2,25.0
70,2026-09-24,Monitor 24p,Monitores,1,800.0
71,2026-06-09,Headset,Periféricos,1,250.0
72,2026-01-27,Teclado Mecânico,Periféricos,1,350.0
73,2026-04-29,Headset,Periféricos,-1,250.0
74,2026-03-23,Mouse Gamer,Periféricos,1,150.5
75,2026-04-09,Monitor 24p,Monitores,1,800.0
76,2026-04-11,Headset,Periféricos,0,250.0
77,2026-10-25,Cadeira Gamer,Móveis,1,1200.0
78,2026-11-11,Mouse Gamer,Periféricos,1,150.5
79,2026-11-18,Headset,Periféricos,1,250.0
80,2026-05-15,Cadeira Gamer,Móveis,1,1200.0
81,2026-04-23,Monitor 24p,Monitores,1,800.0
82,2026-12-07,Cabo HDMI,Acessórios,1,25.0
83,2026-06-24,Cadeira Gamer,Móveis,1,1200.0
84,2026-09-04,Monitor 24p,Monitores,3,800.0
85,2026-07-23,Teclado Mecânico,Periféricos,-1,350.0
86,2026-12-15,Teclado Mecânico,Periféricos,1,350.0
87,2026-02-15,Cadeira Gamer,Móveis,1,1200.0
88,2026-10-12,Mouse Gamer,Periféricos,3,150.5
89,2026-06-23,Monitor 24p,Monitores,2,800.0
90,2026-04-01,Teclado Mecânico,Periféricos,1,350.0
91,2026-04-07,Cadeira Gamer,Móveis,1,1200.0
92,2026-01-20,Teclado Mecânico,Periféricos,2,350.0
93,2026-07-07,Teclado Mecânico,Periféricos,2,350.0
94,2026-12-27,Monitor 24p,Monitores,1,800.0
95,2026-02-28,Monitor 24p,Monitores,1,800.0
96,2026-05-16,Headset,Periféricos,1,250.0
97,2026-02-12,Teclado Mecânico,Periféricos,2,350.0
98,2026-08-18,Cadeira Gamer,Móveis,1,1200.0
99,2026-12-24,Mouse Gamer,Periféricos,1,150.5
100,2026-05-23,Monitor 24p,Monitores,1,800.0
